care_center,treat,child,week,late,period,fine,rate_late
A,treat,37,1,8,1,1,0.21621621621621623
A,treat,37,2,8,1,1,0.21621621621621623
A,treat,37,3,7,1,1,0.1891891891891892
A,treat,37,4,6,1,1,0.16216216216216217
A,treat,37,5,8,2,1,0.21621621621621623
A,treat,37,6,9,2,1,0.24324324324324326
A,treat,37,7,9,2,1,0.24324324324324326
A,treat,37,8,12,2,1,0.32432432432432434
A,treat,37,9,13,2,1,0.35135135135135137
A,treat,37,10,13,2,1,0.35135135135135137
A,treat,37,11,15,2,1,0.40540540540540543
A,treat,37,12,13,2,1,0.35135135135135137
A,treat,37,13,14,2,1,0.3783783783783784
A,treat,37,14,16,2,1,0.43243243243243246
A,treat,37,15,14,2,1,0.3783783783783784
A,treat,37,16,15,2,1,0.40540540540540543
A,treat,37,17,16,3,1,0.43243243243243246
A,treat,37,18,13,3,1,0.35135135135135137
A,treat,37,19,15,3,1,0.40540540540540543
A,treat,37,20,17,3,1,0.4594594594594595
B,treat,35,1,6,1,1,0.17142857142857143
B,treat,35,2,7,1,1,0.2
B,treat,35,3,3,1,1,0.08571428571428572
B,treat,35,4,5,1,1,0.14285714285714285
B,treat,35,5,2,2,1,0.05714285714285714
B,treat,35,6,11,2,1,0.3142857142857143
B,treat,35,7,14,2,1,0.4
B,treat,35,8,9,2,1,0.2571428571428571
B,treat,35,9,16,2,1,0.45714285714285713
B,treat,35,10,12,2,1,0.34285714285714286
B,treat,35,11,10,2,1,0.2857142857142857
B,treat,35,12,14,2,1,0.4
B,treat,35,13,14,2,1,0.4
B,treat,35,14,16,2,1,0.45714285714285713
B,treat,35,15,12,2,1,0.34285714285714286
B,treat,35,16,17,2,1,0.4857142857142857
B,treat,35,17,14,3,1,0.4
B,treat,35,18,10,3,1,0.2857142857142857
B,treat,35,19,14,3,1,0.4
B,treat,35,20,15,3,1,0.42857142857142855
C,treat,35,1,8,1,1,0.22857142857142856
C,treat,35,2,9,1,1,0.2571428571428571
C,treat,35,3,8,1,1,0.22857142857142856
C,treat,35,4,9,1,1,0.2571428571428571
C,treat,35,5,3,2,1,0.08571428571428572
C,treat,35,6,5,2,1,0.14285714285714285
C,treat,35,7,15,2,1,0.42857142857142855
C,treat,35,8,18,2,1,0.5142857142857142
C,treat,35,9,16,2,1,0.45714285714285713
C,treat,35,10,14,2,1,0.4
C,treat,35,11,20,2,1,0.5714285714285714
C,treat,35,12,18,2,1,0.5142857142857142
C,treat,35,13,25,2,1,0.7142857142857143
C,treat,35,14,22,2,1,0.6285714285714286
C,treat,35,15,27,2,1,0.7714285714285715
C,treat,35,16,19,2,1,0.5428571428571428
C,treat,35,17,20,3,1,0.5714285714285714
C,treat,35,18,23,3,1,0.6571428571428571
C,treat,35,19,23,3,1,0.6571428571428571
C,treat,35,20,22,3,1,0.6285714285714286
D,treat,34,1,10,1,1,0.29411764705882354
D,treat,34,2,3,1,1,0.08823529411764706
D,treat,34,3,14,1,1,0.4117647058823529
D,treat,34,4,9,1,1,0.2647058823529412
D,treat,34,5,6,2,1,0.17647058823529413
D,treat,34,6,24,2,1,0.7058823529411765
D,treat,34,7,8,2,1,0.23529411764705882
D,treat,34,8,22,2,1,0.6470588235294118
D,treat,34,9,22,2,1,0.6470588235294118
D,treat,34,10,19,2,1,0.5588235294117647
D,treat,34,11,25,2,1,0.7352941176470589
D,treat,34,12,18,2,1,0.5294117647058824
D,treat,34,13,23,2,1,0.6764705882352942
D,treat,34,14,22,2,1,0.6470588235294118
D,treat,34,15,24,2,1,0.7058823529411765
D,treat,34,16,17,2,1,0.5
D,treat,34,17,15,3,1,0.4411764705882353
